neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Ormont-Dessus,380.97,4.0,746.0,11.0
Oron,163.83,3.0,783.0,37.0
Oulens-sous-Echallens,110.0,4.0,1125.0,19.0
Pailly,100.0,3.0,1125.0,48.0
Paudex,137.25,2.0,851.0,21.0
Payerne,306.09,2.0,755.0,6.0
Perroy,159.0,2.0,879.0,24.0
Poliez-Pittet,97.0,14.0,1125.0,0.0
Pomy,288.0,5.0,207.0,23.0
Prangins,101.19,38.0,766.0,9.0
Premier,30.0,1.0,7.0,156.0
Prilly,93.77,8.0,893.0,13.0
Provence,71.25,1.0,1125.0,14.0
Préverenges,232.36,5.0,830.0,20.0
Puidoux,144.19,4.0,762.0,31.0
Pully,97.21,7.0,806.0,12.0
Renens (Vaud),66.83,18.0,848.0,9.0
Rennaz,39.0,1.0,1125.0,184.0
Rivaz,131.69,2.0,764.0,20.0
Roche (Vaud),93.6,2.0,466.0,7.0
Rolle,148.91,5.0,774.0,12.0
Romainmôtier-Envy,87.5,2.0,570.0,26.0
Romanel-sur-Lausanne,78.8,10.0,918.0,3.0
Romanel-sur-Morges,78.48,1.0,7.0,46.0
Ropraz,31.0,1.0,1125.0,27.0
Rossinière,176.65,3.0,303.0,23.0
Rougemont,543.15,4.0,530.0,9.0
Saint-Cergue,112.07,2.0,825.0,22.0
Saint-George,221.93,3.0,969.0,28.0
Saint-Livres,241.25,1.0,64.0,0.0
Saint-Légier-La Chiésaz,193.06,5.0,633.0,16.0
Saint-Oyens,110.0,2.0,1125.0,3.0
Saint-Prex,111.99,4.0,781.0,14.0
Saint-Saphorin (Lavaux),146.06,9.0,694.0,5.0
Saint-Sulpice (Vaud),149.8,14.0,627.0,9.0
Sainte-Croix,105.84,5.0,1125.0,25.0
Savigny,82.88,22.0,696.0,15.0
Sergey,50.0,1.0,1125.0,4.0
Servion,114.25,5.0,464.0,5.0
Signy-Avenex,74.5,2.0,1125.0,0.0
Suchy,92.5,1.0,14.0,40.0
Sullens,114.17,2.0,572.0,8.0
Tannay,108.33,2.0,757.0,12.0
Tartegnin,135.47,2.0,1125.0,28.0
Tolochenaz,198.23,4.0,942.0,17.0
Trey,128.33,3.0,760.0,21.0
Treycovagnes,70.0,1.0,4.0,14.0
Trélex,92.55,2.0,408.0,62.0
Tévenon,103.33,2.0,578.0,16.0
Valbroye,79.83,2.0,270.0,18.0
Valeyres-sous-Rances,100.0,1.0,1125.0,0.0
Vallorbe,174.4,2.0,810.0,12.0
Vaulion,71.1,1.0,1125.0,57.0
Vevey,137.95,10.0,699.0,12.0
Veytaux,140.59,4.0,904.0,20.0
Vich,123.0,3.0,763.0,21.0
Villars-Sainte-Croix,120.0,2.0,31.0,16.0
Villars-sous-Yens,80.0,3.0,90.0,33.0
Villeneuve (Vaud),129.99,2.0,921.0,26.0
Vinzel,50.0,2.0,1125.0,0.0
Vuarrens,59.0,2.0,1125.0,114.0
Vufflens-la-Ville,136.51,4.0,131.0,19.0
Vufflens-le-Château,82.5,2.0,1125.0,0.0
Vugelles-La Mothe,79.35,1.0,618.0,8.0
Vuiteboeuf,81.0,1.0,1125.0,16.0
Vulliens,113.5,1.0,3.0,5.0
Vullierens,93.75,2.0,1125.0,9.0
Vully-les-Lacs,151.13,5.0,972.0,16.0
Yens,99.0,2.0,180.0,26.0
Yverdon-les-Bains,82.2,4.0,697.0,28.0
Yvonand,126.6,3.0,904.0,14.0
Yvorne,127.67,6.0,755.0,3.0
